dataset_variant,model,seed,n_samples,n_features,train_samples,test_samples,accuracy,balanced_accuracy,precision_macro,recall_macro,f1_macro,fit_seconds,prediction_seconds,total_seconds,log_loss,roc_auc,status,error
periodic_high_freq,RealMLP-TD,0,1200,5,1000,200,0.67,0.6706766917293233,0.6702670267026702,0.6706766917293233,0.6698679471788715,15.03635997697711,0.04831609223037958,15.08467606920749,0.7157508134841919,0.7251127819548873,success,
periodic_high_freq,TabPFN-v2,0,1200,5,1000,200,1.0,1.0,1.0,1.0,1.0,1.1890262411907315,0.9895139569416642,2.1785401981323957,0.01459225919097662,1.0,success,
periodic_high_freq,TabPFN-v3,0,1200,5,1000,200,1.0,1.0,1.0,1.0,1.0,3.1215944420546293,0.6817549616098404,3.8033494036644697,0.007733025122433901,1.0,success,
periodic_high_freq,TabICL-v2,0,1200,5,1000,200,1.0,1.0,1.0,1.0,1.0,0.8809041082859039,0.5562352379783988,1.4371393462643027,0.004379799589514732,1.0,success,
periodic_2d_checkerboard,CatBoost,0,1200,5,1000,200,0.98,0.9799679487179487,0.9799679487179487,0.9799679487179487,0.9799679487179487,1.181239616125822,0.002147614024579525,1.1833872301504016,0.15103355849062117,0.9978966346153846,success,
periodic_2d_checkerboard,RealMLP-TD,0,1200,5,1000,200,0.465,0.484375,0.23604060913705585,0.484375,0.3174061433447099,14.56709772720933,0.048396543599665165,14.615494270808995,0.7135314345359802,0.549579326923077,success,
periodic_2d_checkerboard,TabPFN-v2,0,1200,5,1000,200,0.935,0.9354967948717949,0.9348434843484348,0.9354967948717949,0.934959349593496,1.0117501113563776,0.926474335603416,1.9382244469597936,0.1632903814315796,0.9873798076923077,success,
periodic_2d_checkerboard,TabPFN-v3,0,1200,5,1000,200,0.92,0.9202724358974359,0.9197679071628652,0.9202724358974359,0.9199279351416274,3.1440502610057592,0.7242870777845383,3.8683373387902975,0.6092216372489929,0.9744591346153846,success,
periodic_2d_checkerboard,TabICL-v2,0,1200,5,1000,200,0.895,0.8946314102564102,0.8949874686716792,0.8946314102564102,0.8947869435607105,0.7153651872649789,0.5774794844910502,1.2928446717560291,0.26207277178764343,0.9602363782051282,success,
periodic_low_freq,CatBoost,1,1200,5,1000,200,1.0,1.0,1.0,1.0,1.0,1.183991658501327,0.0023353779688477516,1.1863270364701748,0.0011858890747371222,1.0,success,
periodic_low_freq,RealMLP-TD,1,1200,5,1000,200,0.995,0.995049504950495,0.995,0.995049504950495,0.9949998749968749,15.387532338500023,0.11770295072346926,15.505235289223492,0.056825123727321625,1.0,success,
periodic_low_freq,TabPFN-v2,1,1200,5,1000,200,1.0,1.0,1.0,1.0,1.0,1.1576012521982193,0.9847971145063639,2.142398366704583,0.0012270003790035844,1.0,success,
periodic_low_freq,TabPFN-v3,1,1200,5,1000,200,1.0,1.0,1.0,1.0,1.0,3.6163661293685436,0.6796791404485703,4.296045269817114,0.0005016507930122316,1.0,success,
periodic_low_freq,TabICL-v2,1,1200,5,1000,200,1.0,1.0,1.0,1.0,1.0,0.7343332739546895,0.7379647372290492,1.4722980111837387,2.2860536773805507e-05,1.0,success,
periodic_mid_freq,CatBoost,1,1200,5,1000,200,0.99,0.9899909918927035,0.9899909918927035,0.9899909918927035,0.9899909918927035,1.2353726401925087,0.001249224878847599,1.2366218650713563,0.021687236531299066,0.9996997297567811,success,
periodic_mid_freq,RealMLP-TD,1,1200,5,1000,200,0.96,0.9608647783004705,0.9608647783004705,0.9608647783004705,0.96,15.185621613636613,0.046845776960253716,15.232467390596867,0.10702593624591827,0.9985987388649785,success,
periodic_mid_freq,TabPFN-v2,1,1200,5,1000,200,0.995,0.9951456310679612,0.9948979591836735,0.9951456310679612,0.9949968730456535,0.85495375841856,0.9323016442358494,1.7872554026544094,0.015227901749312878,0.9998999099189271,success,
periodic_mid_freq,TabPFN-v3,1,1200,5,1000,200,0.995,0.9948453608247423,0.9951923076923077,0.9948453608247423,0.9949938674876724,3.059618439525366,0.7633526735007763,3.822971113026142,0.006385498214513063,1.0,success,
periodic_mid_freq,TabICL-v2,1,1200,5,1000,200,0.995,0.9948453608247423,0.9951923076923077,0.9948453608247423,0.9949938674876724,1.0501833418384194,0.6028248146176338,1.6530081564560533,0.0059694647789001465,1.0,success,
periodic_high_freq,CatBoost,1,1200,5,1000,200,0.97,0.97,0.97,0.97,0.97,1.1932843048125505,0.001234377734363079,1.1945186825469136,0.06029520903292603,0.9985999999999999,success,
periodic_high_freq,RealMLP-TD,1,1200,5,1000,200,0.615,0.615,0.6184224075790341,0.615,0.6121981315000882,14.912742576561868,0.05648714117705822,14.969229717738926,0.7059998512268066,0.6757000000000001,success,
periodic_high_freq,TabPFN-v2,1,1200,5,1000,200,0.98,0.98,0.9801920768307323,0.98,0.9799979997999799,1.35036441963166,1.0216439319774508,2.372008351609111,0.039664749056100845,0.999,success,
periodic_high_freq,TabPFN-v3,1,1200,5,1000,200,0.995,0.995,0.995049504950495,0.995,0.9949998749968749,4.400237235240638,1.0239605251699686,5.424197760410607,0.015340559184551239,1.0,success,
periodic_high_freq,TabICL-v2,1,1200,5,1000,200,0.99,0.99,0.99,0.99,0.99,0.8998613217845559,0.6075579207390547,1.5074192425236106,0.013973601162433624,0.9999,success,
periodic_2d_checkerboard,CatBoost,1,1200,5,1000,200,0.975,0.9751602564102564,0.9748273446101492,0.9751602564102564,0.974969337438362,1.205391738563776,0.0011987760663032532,1.2065905146300793,0.1390921036506693,0.9988982371794872,success,
periodic_2d_checkerboard,RealMLP-TD,1,1200,5,1000,200,0.52,0.5192307692307692,0.5192307692307692,0.5192307692307692,0.5192307692307692,15.429125769995153,0.08361861575394869,15.512744385749102,0.760776698589325,0.5523838141025641,success,
periodic_2d_checkerboard,TabPFN-v2,1,1200,5,1000,200,0.94,0.9399038461538461,0.9399038461538461,0.9399038461538461,0.9399038461538461,1.2890489865094423,0.9400401180610061,2.2290891045704484,0.17644056677818298,0.9911858974358974,success,
periodic_2d_checkerboard,TabPFN-v3,1,1200,5,1000,200,0.93,0.9282852564102564,0.9338474025974026,0.9282852564102564,0.929549114331723,4.131511179730296,0.7182853342965245,4.849796514026821,0.5816630721092224,0.9859775641025641,success,
periodic_2d_checkerboard,TabICL-v2,1,1200,5,1000,200,0.9,0.9006410256410255,0.9,0.9006410256410255,0.8999599839935974,1.1113939452916384,0.601788641884923,1.7131825871765614,0.23414747416973114,0.9706530448717949,success,
periodic_low_freq,CatBoost,2,1200,5,1000,200,0.995,0.9950980392156863,0.994949494949495,0.9950980392156863,0.994998874746818,1.193182890303433,0.0023694466799497604,1.1955523369833827,0.011438615035579733,0.9998999599839936,success,
periodic_low_freq,RealMLP-TD,2,1200,5,1000,200,0.995,0.9950980392156863,0.994949494949495,0.9950980392156863,0.994998874746818,14.765592254698277,0.04692161548882723,14.812513870187104,0.06909894943237305,0.9901960784313726,success,
periodic_low_freq,TabPFN-v2,2,1200,5,1000,200,1.0,1.0,1.0,1.0,1.0,1.8371633859351277,0.9585745083168149,2.7957378942519426,0.0031715312507003546,1.0,success,
periodic_low_freq,TabPFN-v3,2,1200,5,1000,200,1.0,1.0,1.0,1.0,1.0,2.8317369604483247,0.7307628793641925,3.562499839812517,0.0017568038310855627,1.0,success,
periodic_low_freq,TabICL-v2,2,1200,5,1000,200,1.0,1.0,1.0,1.0,1.0,1.0796728963032365,0.608469226397574,1.6881421227008104,0.0015433570370078087,1.0,success,
periodic_mid_freq,CatBoost,2,1200,5,1000,200,0.985,0.9852778615214551,0.9846447209955841,0.9852778615214551,0.9849363561045417,1.2033945890143514,0.0021081343293190002,1.2055027233436704,0.024428323244252058,0.9994975379358858,success,
periodic_mid_freq,RealMLP-TD,2,1200,5,1000,200,0.975,0.9745251733494121,0.9752415458937198,0.9745251733494121,0.9748585795097423,15.4883505217731,0.1206623138859868,15.609012835659087,0.08691711723804474,0.998794091046126,success,
periodic_mid_freq,TabPFN-v2,2,1200,5,1000,200,0.995,0.9953271028037383,0.9946808510638299,0.9953271028037383,0.9949787853681806,1.5514108277857304,1.0147816203534603,2.5661924481391907,0.013046745210886002,0.9998995075871773,success,
periodic_mid_freq,TabPFN-v3,2,1200,5,1000,200,1.0,1.0,1.0,1.0,1.0,2.7963617211207747,0.8265833519399166,3.6229450730606914,0.006825461518019438,1.0,success,
periodic_mid_freq,TabICL-v2,2,1200,5,1000,200,0.995,0.9953271028037383,0.9946808510638299,0.9953271028037383,0.9949787853681806,0.9242908218875527,0.5770850917324424,1.5013759136199951,0.009460275992751122,1.0,success,
periodic_high_freq,CatBoost,2,1200,5,1000,200,0.995,0.9951456310679612,0.9948979591836735,0.9951456310679612,0.9949968730456535,1.2323862817138433,0.001067490316927433,1.2334537720307708,0.04519683414282463,1.0,success,
periodic_high_freq,RealMLP-TD,2,1200,5,1000,200,0.52,0.5255730157141427,0.5296025952960259,0.5255730157141427,0.5057151683657708,14.747047396376729,0.048056445084512234,14.795103841461241,0.7076361179351807,0.5565008507656892,success,
periodic_high_freq,TabPFN-v2,2,1200,5,1000,200,0.99,0.9899909918927035,0.9899909918927035,0.9899909918927035,0.9899909918927035,1.3489919621497393,0.9863019343465567,2.335293896496296,0.03011200949549675,0.9998498648783906,success,
periodic_high_freq,TabPFN-v3,2,1200,5,1000,200,0.995,0.9948453608247423,0.9951923076923077,0.9948453608247423,0.9949938674876724,2.9069292172789574,0.7899205973371863,3.6968498146161437,0.012625069357454777,1.0,success,
periodic_high_freq,TabICL-v2,2,1200,5,1000,200,0.995,0.9948453608247423,0.9951923076923077,0.9948453608247423,0.9949938674876724,0.8009134260937572,0.6168806618079543,1.4177940879017115,0.011693957261741161,1.0,success,
periodic_2d_checkerboard,CatBoost,2,1200,5,1000,200,0.975,0.9752107587314331,0.9746867167919799,0.9752107587314331,0.9749241455402593,1.2024158900603652,0.0009734826162457466,1.203389372676611,0.15006742141583695,0.9986953030911281,success,
periodic_2d_checkerboard,RealMLP-TD,2,1200,5,1000,200,0.96,0.9598554797270173,0.9598554797270173,0.9598554797270173,0.9598554797270173,15.035355378873646,0.05242364481091499,15.087779023684561,0.14892177283763885,0.9952830188679245,success,
periodic_2d_checkerboard,TabPFN-v2,2,1200,5,1000,200,0.965,0.9663789642713769,0.9647464746474648,0.9663789642713769,0.9649570724137068,1.5042771575972438,0.9594637406989932,2.463740898296237,0.09703806042671204,0.9978924126856684,success,
periodic_2d_checkerboard,TabPFN-v3,2,1200,5,1000,200,0.94,0.9409875551987155,0.9395758303321329,0.9409875551987155,0.9399038461538461,3.460927240550518,0.7905405815690756,4.251467822119594,0.4451233148574829,0.9842432757928542,success,
periodic_2d_checkerboard,TabICL-v2,2,1200,5,1000,200,0.94,0.9397832195905259,0.9397832195905259,0.9397832195905259,0.9397832195905259,0.8002095138654113,0.5976074794307351,1.3978169932961464,0.1780412495136261,0.9854476114010438,success,
