dataset_variant,model,seed,n_samples,n_features,train_samples,test_samples,accuracy,balanced_accuracy,precision_macro,recall_macro,f1_macro,fit_seconds,prediction_seconds,total_seconds,log_loss,roc_auc,status,error
attention_clean_base,TabPFN-v2,2,1200,5,1000,200,0.945,0.9429705557230429,0.9472402597402598,0.9429705557230429,0.9444991044173667,1.5124206878244877,1.035368962213397,2.5477896500378847,0.1114855706691742,0.9928650386895789,success,
attention_clean_base,TabPFN-v3,2,1200,5,1000,200,0.96,0.9598030348708673,0.9598030348708673,0.9598030348708673,0.9598030348708673,3.918651365675032,0.7935726912692189,4.712224056944251,0.08817470818758011,0.9953773490101497,success,
attention_clean_base,TabICL-v2,2,1200,5,1000,200,0.98,0.978494623655914,0.9819819819819819,0.978494623655914,0.9798366770843835,0.9040577774867415,0.5768196731805801,1.4808774506673217,0.0674050897359848,0.9979901517435433,success,
attention_dilution_50feat,CatBoost,2,1200,50,1000,200,0.81,0.8111747563058989,0.8096809680968097,0.8111747563058989,0.8096955128205128,2.3425194174051285,0.001468743197619915,2.3439881606027484,0.42053861690108774,0.8906642548487589,success,
attention_dilution_50feat,RealMLP-TD,2,1200,50,1000,200,0.865,0.8639835192442971,0.8645330112721417,0.8639835192442971,0.8642363293526085,14.75458015780896,0.10998581629246473,14.864565974101424,0.29145991802215576,0.946236559139785,success,
attention_dilution_50feat,TabPFN-v2,2,1200,50,1000,200,0.77,0.7723846849562858,0.7712941647482734,0.7723846849562858,0.7699079631852741,2.140456679277122,6.366809324361384,8.507266003638506,0.49002373218536377,0.8472012863028842,success,
attention_dilution_50feat,TabPFN-v3,2,1200,50,1000,200,0.685,0.6859109637222389,0.685,0.6859109637222389,0.6846136517233611,3.1982255913317204,1.2341388510540128,4.432364442385733,0.5620039105415344,0.7924831675208522,success,
attention_dilution_50feat,TabICL-v2,2,1200,50,1000,200,0.65,0.6517937895688874,0.6511860674607146,0.6517937895688874,0.6498599439775911,1.220828308723867,1.4232276529073715,2.6440559616312385,0.6510624885559082,0.733393628781027,success,
attention_dilution_150feat,CatBoost,2,1200,150,1000,200,0.7,0.7006331022007839,0.6996699669966997,0.7006331022007839,0.6995192307692308,4.968523029237986,0.002695051021873951,4.97121808025986,0.5322213871699598,0.8300673299165913,success,
attention_dilution_150feat,RealMLP-TD,2,1200,150,1000,200,0.745,0.7469098583056979,0.7457983193277311,0.7469098583056979,0.7448405253283302,14.938142688944936,0.04974548611789942,14.987888175062835,0.5067546963691711,0.8374032760526581,success,
attention_dilution_150feat,TabPFN-v2,2,1200,150,1000,200,0.655,0.6578735805446689,0.6576676033721397,0.6578735805446689,0.6549913747843696,5.384945604018867,18.29244439303875,23.677389997057617,0.6383535861968994,0.7409305597427395,success,
attention_dilution_150feat,TabPFN-v3,2,1200,150,1000,200,0.66,0.6618430308511707,0.6611950755680112,0.6618430308511707,0.6598639455782312,2.98020620085299,2.1151399314403534,5.0953461322933435,0.641703188419342,0.7417344990453222,success,
attention_dilution_150feat,TabICL-v2,2,1200,150,1000,200,0.65,0.653904130238167,0.6544006452263333,0.653904130238167,0.64996499649965,3.0315950931981206,12.460264814086258,15.491859907284379,0.6426982283592224,0.7415837604260879,success,
