dataset_module,dataset_variant,logical_operator,n_noise_features,model,seed,n_samples,n_relevant_features,n_features,train_samples,test_samples,positive_rate,accuracy,balanced_accuracy,precision_macro,recall_macro,f1_macro,fit_seconds,prediction_seconds,total_seconds,log_loss,roc_auc,status,error
logical_dataset,L2,OR,0,limix,0,1000,2,2,750,250,0.738,0.992,0.9945652173913043,0.9852941176470589,0.9945652173913043,0.9898050729956773,0.00021430000197142363,2.8721547999884933,2.8723690999904647,0.009353146895732748,1.0,success,
logical_dataset,L2,OR,0,tabpfn_v2,0,1000,2,2,750,250,0.738,0.996,0.9972826086956521,0.9925373134328358,0.9972826086956521,0.9948782036835959,0.4100963000091724,13.513818899984471,13.923915199993644,0.01162561662372099,0.9999176548089592,success,
logical_dataset,L2,OR,0,tabpfn_v3,0,1000,2,2,750,250,0.738,0.996,0.9972826086956521,0.9925373134328358,0.9972826086956521,0.9948782036835959,1.589064200001303,19.851246400008677,21.44031060000998,0.005185219430595476,1.0,success,
logical_dataset,L2,OR,0,catboost,1,1000,2,2,750,250,0.746,1.0,1.0,1.0,1.0,1.0,3.1105184000043664,0.002600700012408197,3.1131191000167746,0.0014788591202117638,1.0,success,
logical_dataset,L2,OR,0,realmlp,1,1000,2,2,750,250,0.746,0.988,0.9867158984806044,0.9816868279569892,0.9867158984806044,0.9841675286567731,22.67487440002151,0.08702289999928325,22.76189730002079,0.03401793947881358,0.9994907053730584,success,
logical_dataset,L2,OR,0,tabicl_v2,1,1000,2,2,750,250,0.746,0.996,0.9920634920634921,0.9973404255319149,0.9920634920634921,0.9946666666666666,0.7881113000039477,10.923021900001913,11.711133200005861,0.008303842872029297,0.9999151175621764,success,
logical_dataset,L2,OR,0,limix,1,1000,2,2,750,250,0.746,0.996,0.9920634920634921,0.9973404255319149,0.9920634920634921,0.9946666666666666,0.00010340000153519213,2.7699189000122715,2.7700223000138067,0.00732793308698251,1.0,success,
logical_dataset,L2,OR,0,tabpfn_v2,1,1000,2,2,750,250,0.746,0.992,0.9946524064171123,0.9846153846153847,0.9946524064171123,0.9894993279569892,0.3127079000114463,13.256064700020943,13.56877260003239,0.0145184751791327,0.9998302351243529,success,
logical_dataset,L2,OR,0,tabpfn_v3,1,1000,2,2,750,250,0.746,0.996,0.9920634920634921,0.9973404255319149,0.9920634920634921,0.9946666666666666,1.4881193000182975,17.701498699985677,19.189618000003975,0.0068737609130724775,1.0,success,
logical_dataset,L2,OR,0,catboost,2,1000,2,2,750,250,0.736,1.0,1.0,1.0,1.0,1.0,2.522259099991061,0.004135299997869879,2.5263943999889307,0.001172613111591624,1.0,success,
logical_dataset,L2,OR,0,realmlp,2,1000,2,2,750,250,0.736,0.988,0.9869894598155468,0.9823423864285132,0.9869894598155468,0.9846346110507878,22.98755930000334,0.12405020001460798,23.11160950001795,0.030492908987778237,0.999505928853755,success,
logical_dataset,L2,OR,0,tabicl_v2,2,1000,2,2,750,250,0.736,0.996,0.9972826086956521,0.9925373134328358,0.9972826086956521,0.9948782036835959,0.8957602999871597,10.947398999996949,11.843159299984109,0.0065046060789348496,1.0,success,
logical_dataset,L2,OR,0,limix,2,1000,2,2,750,250,0.736,1.0,1.0,1.0,1.0,1.0,0.00019970000721514225,3.3618292000028305,3.3620289000100456,0.005409552545012062,1.0,success,
logical_dataset,L2,OR,0,tabpfn_v2,2,1000,2,2,750,250,0.736,1.0,1.0,1.0,1.0,1.0,0.36548400000901893,13.68552740002633,14.05101140003535,0.0051738276200402255,1.0,success,
logical_dataset,L2,OR,0,tabpfn_v3,2,1000,2,2,750,250,0.736,1.0,1.0,1.0,1.0,1.0,1.501925200020196,22.662175799981924,24.16410100000212,0.002329620095534031,1.0,success,
logical_dataset,L2,OR,0,catboost,3,1000,2,2,750,250,0.746,0.996,0.9921875,0.9973262032085561,0.9921875,0.9947225095522577,2.4876064999843948,0.003288300009444356,2.490894799993839,0.01145762771304319,1.0,success,
logical_dataset,L2,OR,0,realmlp,3,1000,2,2,750,250,0.746,0.992,0.9946236559139785,0.9848484848484849,0.9946236559139785,0.9896049896049897,22.95296049999888,0.08875429999898188,23.041714799997862,0.01849876371315092,1.0,success,
logical_dataset,L2,OR,0,tabicl_v2,3,1000,2,2,750,250,0.746,1.0,1.0,1.0,1.0,1.0,0.9386039999953937,12.832998800004134,13.771602799999528,0.0046369612104446845,1.0,success,
logical_dataset,L2,OR,0,limix,3,1000,2,2,750,250,0.746,1.0,1.0,1.0,1.0,1.0,0.00011329998960718513,2.818114299996523,2.8182275999861304,0.009759742790800443,1.0,success,
logical_dataset,L2,OR,0,tabpfn_v2,3,1000,2,2,750,250,0.746,1.0,1.0,1.0,1.0,1.0,0.2914986999821849,14.062374000001,14.353872699983185,0.0063257397645868525,1.0,success,
logical_dataset,L2,OR,0,tabpfn_v3,3,1000,2,2,750,250,0.746,1.0,1.0,1.0,1.0,1.0,1.5756487000035122,21.477469500008738,23.05311820001225,0.003112488583677728,1.0,success,
logical_dataset,L2,OR,0,catboost,4,1000,2,2,750,250,0.742,0.984,0.9891891891891892,0.9710144927536232,0.9891891891891892,0.9796101459913547,2.526930399995763,0.003189399983966723,2.5301197999797296,0.027685615265402436,0.99991683991684,success,
logical_dataset,L2,OR,0,realmlp,4,1000,2,2,750,250,0.742,0.984,0.9841995841995843,0.9748796998613489,0.9841995841995843,0.9794137022397892,21.027164800005266,0.0837067999818828,21.11087159998715,0.05773276249413252,0.9996673596673596,success,
logical_dataset,L2,OR,0,tabicl_v2,4,1000,2,2,750,250,0.742,0.992,0.9945945945945946,0.9850746268656716,0.9945945945945946,0.9897068511198945,0.8250681000063196,12.932969300018158,13.758037400024477,0.018583564340165257,1.0,success,
logical_dataset,L2,OR,0,limix,4,1000,2,2,750,250,0.742,0.992,0.9945945945945946,0.9850746268656716,0.9945945945945946,0.9897068511198945,9.789998875930905e-05,3.070449599996209,3.0705474999849685,0.019278436245889936,1.0,success,
logical_dataset,L2,OR,0,tabpfn_v2,4,1000,2,2,750,250,0.742,0.992,0.9896049896049897,0.9896049896049897,0.9896049896049897,0.9896049896049897,0.36819399998057634,14.247029599995585,14.615223599976161,0.021476856507643156,0.9997505197505198,success,
logical_dataset,L2,OR,0,tabpfn_v3,4,1000,2,2,750,250,0.742,0.988,0.991891891891892,0.9779411764705883,0.991891891891892,0.9846346110507878,1.5631654000026174,21.45851450000191,23.02167990000453,0.02812356303519025,0.9998336798336799,success,
logical_dataset,L3,XOR,0,realmlp,0,1000,4,4,750,250,0.495,0.936,0.9361239119303635,0.9363473360655737,0.9361239119303635,0.9359959037378391,12.434278100001393,0.08132940001087263,12.515607500012266,0.18326596008864227,0.9849590373783922,success,
logical_dataset,L3,XOR,0,tabicl_v2,0,1000,4,4,750,250,0.495,0.92,0.9201228878648233,0.9203381147540983,0.9201228878648233,0.919994879672299,0.7710212000238243,12.173638600012055,12.944659800035879,0.24529914298983074,0.9765745007680491,success,
logical_dataset,L3,XOR,0,limix,0,1000,4,4,750,250,0.495,0.888,0.8880568356374807,0.8880568356374807,0.8880568356374807,0.888,0.0001246000174432993,4.652873000013642,4.652997600031085,0.40738163000116645,0.9715181771633385,success,
logical_dataset,L3,XOR,0,tabpfn_v2,0,1000,4,4,750,250,0.495,0.852,0.8523425499231951,0.8545893719806763,0.8523425499231951,0.8518079430942501,0.33436409998103045,20.841970500012394,21.176334599993424,0.3387232319306123,0.9492447516641065,success,
logical_dataset,L3,XOR,0,tabpfn_v3,0,1000,4,4,750,250,0.495,0.94,0.9401561699948797,0.940579153052726,0.9401561699948797,0.9399913587556608,1.5877637999947183,22.432741799973883,24.0205055999686,0.17158648827490833,0.9864951356886842,success,
logical_dataset,L3,XOR,0,catboost,1,1000,4,4,750,250,0.477,0.96,0.9591378536147284,0.9610305958132046,0.9591378536147284,0.9598354861512757,2.5550989999901503,0.002639899990754202,2.5577388999809045,0.18650746152692665,0.9903136827249984,success,
