model,dataset_variant,logical_operator,n_noise_features,n_successful_seeds,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,precision_macro_mean,precision_macro_std,recall_macro_mean,recall_macro_std,f1_macro_mean,f1_macro_std,fit_seconds_mean,fit_seconds_std,prediction_seconds_mean,prediction_seconds_std,total_seconds_mean,total_seconds_std,log_loss_mean,log_loss_std,roc_auc_mean,roc_auc_std
realmlp,L1,AND,0,5,0.9968,0.0033466401061363104,0.9954868689936165,0.004336380513297947,0.9958387027491409,0.006538021704508842,0.9954868689936165,0.004336380513297947,0.9956187879089358,0.004483581437608666,23.716687320009804,1.6474826253977162,0.0991335200029425,0.008319070656232004,23.815820840012748,1.649815745441875,0.01061643077329894,0.009231289540255743,0.999913185654739,0.00014861491653261641
realmlp,L1,AND,4,5,0.9928000000000001,0.0033466401061363017,0.9900120337901427,0.005615733499841589,0.9907506232736226,0.00900535188359198,0.9900120337901427,0.005615733499841589,0.9902410452430586,0.004688439094267414,26.492592519993195,3.2852121825823577,0.09620536001166327,0.008832583640507624,26.588797880004858,3.280486760585029,0.047251915950738084,0.04460976027109533,0.9996320378226168,0.0003480643507770266
realmlp,L2,OR,0,5,0.9888,0.0033466401061363104,0.9884470899059217,0.003965475378972177,0.9826928500430461,0.005385703145016191,0.9884470899059217,0.003965475378972177,0.9855055365344467,0.004304526137562866,23.085016960004577,1.7107354615680614,0.09541693999781267,0.01639607602385174,23.18043390000239,1.713820931027296,0.03152185576205704,0.016421550861347174,0.9996998607024183,0.0002184272405564995
realmlp,L2,OR,4,5,0.9832000000000001,0.009121403400793105,0.9785694474102764,0.007171835127289464,0.9782775104581611,0.01675356529858503,0.9785694474102764,0.007171835127289464,0.97824296362463,0.011470157802596241,25.5102679200063,1.4938398445607803,0.09627566000563088,0.011122916438934273,25.60654358001193,1.4996652433219742,0.061940305454771805,0.03840175877750105,0.9989776824194363,0.0007095466466714404
realmlp,L3,XOR,0,5,0.9056000000000001,0.03118974190338871,0.9059637846642378,0.03072739660754145,0.9067745649387104,0.03090868038146487,0.9059637846642378,0.03072739660754145,0.9054215641633148,0.031196020793396936,13.963505060004536,3.007165601760181,0.08681004000827666,0.004096426756261297,14.050315100012813,3.0080955450742817,0.23792910444185353,0.0807285977193584,0.9732360162125915,0.01496149187775457
realmlp,L3,XOR,4,5,0.6104,0.15754618370496953,0.6072984003914045,0.1611503914737768,0.604040430231416,0.16572904199188032,0.6072984003914045,0.1611503914737768,0.5928899631810071,0.17667989985429478,14.420894059998682,0.7612989106299797,0.10009638000046828,0.019339761791640094,14.52099043999915,0.754899088169255,0.7251287481467882,0.2001605647474839,0.6366269419194123,0.20781956457795303
tabicl_v2,L1,AND,0,5,0.9975999999999999,0.0021908902300206714,0.9975360741927336,0.0028794487932089067,0.9961904761904762,0.004110544178596339,0.9975360741927336,0.0028794487932089067,0.9968427586170892,0.00288964816523902,1.1622884800017346,0.5401184621999974,11.712757240002976,1.1507732365306589,12.87504572000471,1.4222312552084746,0.00467665346233132,0.002924295781835162,1.0,0.0
tabicl_v2,L1,AND,4,5,0.9975999999999999,0.0021908902300206714,0.9975360741927336,0.0028794487932089067,0.9961904761904762,0.004110544178596339,0.9975360741927336,0.0028794487932089067,0.9968427586170892,0.00288964816523902,0.8269336999976076,0.0316384217437779,14.30702899999451,0.6238861221222812,15.133962699992116,0.6094022940955964,0.00350006447782964,0.002155655582772128,1.0,0.0
tabicl_v2,L2,OR,0,5,0.9968,0.0033466401061363104,0.9967881390707477,0.0034644814972698374,0.9949904731660844,0.006325642158140076,0.9967881390707477,0.0034644814972698374,0.9958503442940314,0.004316478409212905,0.8574620199971832,0.05962969593982578,11.808646060008323,1.0001156183508657,12.666108080005506,1.022207232002663,0.00839447249546662,0.005944082054432969,0.9999830235124353,3.7960580213883675e-05
tabicl_v2,L2,OR,4,5,0.9975999999999999,0.003577708763999674,0.9983754406580493,0.00241902138374878,0.9955223880597014,0.006674829783581497,0.9983754406580493,0.00241902138374878,0.9969170109606982,0.004600478352640864,0.9096774599980563,0.06225009995830091,15.268053519993554,0.4680224740293583,16.177730979991612,0.5258747371262565,0.00608661045598872,0.005740639296887579,1.0,0.0
tabicl_v2,L3,XOR,0,5,0.8216000000000001,0.1645989064362215,0.8191223882231362,0.17189897923628839,0.8677078565261438,0.06618677514808839,0.8191223882231362,0.17189897923628839,0.7903218344123214,0.23352313237907285,0.8197368000051938,0.0345066644810266,13.670280140003888,1.3982079252080233,14.490016940009081,1.4302272395092266,0.3558300524009256,0.20159589682000367,0.924429507988684,0.0915835264381422
tabicl_v2,L3,XOR,4,5,0.5511999999999999,0.022163032283512074,0.5429600617295796,0.01980674240855758,0.5607811182485771,0.038837343290117156,0.5429600617295796,0.01980674240855758,0.5232040141845891,0.041858793688862375,0.9852487999887671,0.12175168168773925,16.851738840003964,0.8981486736132862,17.83698763999273,0.8921573668484233,0.6900583393280588,0.0055936982773983675,0.5396970994994439,0.0439695713134372
tabpfn_v2,L1,AND,0,5,0.9992000000000001,0.001788854381999827,0.999468085106383,0.0011893978603722613,0.9984126984126984,0.0035493142499997093,0.999468085106383,0.0011893978603722613,0.9989333333333332,0.0023851391759998172,0.8354628000000958,0.6332079237033722,14.090283920004731,0.9547028388695482,14.925746720004827,0.6458688424670205,0.0053593747625743805,0.0024034436182345333,1.0,0.0
tabpfn_v2,L1,AND,4,5,0.9984,0.0021908902300206527,0.9989445248969588,0.0014453442676311355,0.9967460317460317,0.004457887831740802,0.9989445248969588,0.0014453442676311355,0.9978305300072785,0.0029713559024790548,0.347652639989974,0.010532974240268708,32.302139480010375,3.2717824796350747,32.64979212000035,3.2701550256940544,0.00530427732024694,0.002185206115479989,1.0,0.0
tabpfn_v2,L2,OR,0,5,0.9960000000000001,0.0040000000000000036,0.9963080009435508,0.004355540396350193,0.9933515375306421,0.006697463258808134,0.9963080009435508,0.004355540396350193,0.994796504249115,0.005224253818168192,0.3495961799984798,0.04742000801014145,13.752962920005666,0.402642010162534,14.102559100004147,0.40170955023533866,0.01182410313902474,0.0066131091299481025,0.9998996819367664,0.00010899847397674732
tabpfn_v2,L2,OR,4,5,0.9975999999999999,0.0035777087639996775,0.9983725029377203,0.0024288747633591603,0.9955436720142602,0.006602287161332018,0.9983725029377203,0.0024288747633591603,0.9969266531104823,0.004567735306942241,0.8579462799942121,0.555695584348914,32.10894000000553,0.7127909310563597,32.96688627999974,0.7894811227681763,0.01103801639435504,0.007381910483800613,0.9999337978903198,9.06528033822678e-05
tabpfn_v2,L3,XOR,0,5,0.8592000000000001,0.019057806799314563,0.8586404758006779,0.020337061538554933,0.8602331511925512,0.01862791238638053,0.8586404758006779,0.020337061538554933,0.858668642287523,0.019623595530840747,0.34385478000040165,0.01760463662288162,21.910752780007897,1.1382652652557683,22.2546075600083,1.138100014048563,0.391397761235622,0.04018180997143579,0.9424254812917994,0.012403843539291455
tabpfn_v2,L3,XOR,4,5,0.6712,0.12659857819106815,0.6634149970837261,0.1281586925563777,0.63201889298552,0.2328011346286908,0.6634149970837261,0.1281586925563777,0.6298672837550532,0.18620782856711854,0.4359750400064513,0.06039313659601722,42.2150389800081,0.4213212850509036,42.65101402001456,0.43584780642083093,0.6544405859368294,0.03187542766368378,0.7542235423273687,0.13315562255457408
tabpfn_v3,L1,AND,0,5,0.9975999999999999,0.0021908902300206714,0.9972496096427216,0.003461265161133305,0.9962251984126984,0.004122155127509198,0.9972496096427216,0.003461265161133305,0.9967147325468335,0.0030003754751529196,1.838641080004163,0.32755099704545937,19.25420426000492,1.251241894695599,21.09284534000908,1.3786340960435228,0.00532000066941672,0.00385862133886241,0.9999828414550447,3.8367672915193796e-05
tabpfn_v3,L1,AND,4,5,0.9975999999999999,0.0021908902300206714,0.9975360741927336,0.0028794487932089067,0.9961904761904762,0.004110544178596339,0.9975360741927336,0.0028794487932089067,0.9968427586170892,0.00288964816523902,1.8386212200101,0.3528518588091436,23.010967560007703,0.7135178948088421,24.849588780017804,1.0226184373407596,0.00436516738040784,0.0029598753661252905,1.0,0.0
tabpfn_v3,L2,OR,0,5,0.9960000000000001,0.004898979485566366,0.9962475985302073,0.004053122465070964,0.9935637830870678,0.009249760563133159,0.9962475985302073,0.004053122465070964,0.99483589628021,0.006273607083807685,1.5435845600091853,0.045529697349053974,20.630180979997384,1.9181342616007668,22.17376554000657,1.9298152628797438,0.00912493041161394,0.010768737476102732,0.9999667359667359,7.438063958412929e-05
tabpfn_v3,L2,OR,4,5,0.9975999999999999,0.002190890230020684,0.9973286796112882,0.0032402628184555523,0.9964603962777986,0.003791871485380339,0.9973286796112882,0.0032402628184555523,0.9968746125813995,0.0028541461770403478,1.9126789599948097,0.27267925563325013,23.91826202000375,0.3603694914374901,25.83094097999856,0.5704700090126587,0.006642800642550639,0.005040313602328204,1.0,0.0
tabpfn_v3,L3,XOR,0,5,0.9168,0.022698017534577758,0.9172566823673141,0.023057895523384397,0.9168256362600488,0.02277037961557938,0.9172566823673141,0.023057895523384397,0.9167073841203086,0.022719980432555062,1.5785537200048565,0.13650340473002215,21.77949557999964,1.120427313083389,23.358049300004495,1.1339487468564269,0.1996232504842907,0.019445244053765097,0.9801377404254646,0.005344688605651726
tabpfn_v3,L3,XOR,4,5,0.5304,0.015126136320951248,0.5163598033812556,0.018025164410543165,0.43586715086298067,0.1577586359080735,0.5163598033812556,0.018025164410543165,0.4219674911602649,0.08110164784373106,1.9153732199920341,0.3805275835209741,29.68877154000802,4.1791834688329335,31.604144760000054,4.440787702758689,0.6906158968102194,0.004073096087744682,0.5258446060919992,0.04880061131749263
