experiment,task,model,n_features,depth,ood,n_train,n_test,seed,status,metric_primary_name,metric_primary,metric_secondary_name,metric_secondary,fit_seconds,predict_seconds,error
2_ood,classification,tabicl_v2,1000,5,False,100,500,0,ok,accuracy,0.548,roc_auc,0.5400714159901363,5.091440792079084,191.34875054098666,
2_ood,classification,tabpfn_v2_5,1000,5,True,100,500,0,ok,accuracy,0.674,roc_auc,0.7270588235294118,1.0210457080975175,68.41248708299827,
2_ood,classification,tabpfn_v3,1000,5,True,100,500,0,ok,accuracy,0.724,roc_auc,0.6949197860962566,1.8341787500539795,6.8800804580096155,
2_ood,classification,tabicl_v2,1000,5,True,100,500,0,ok,accuracy,0.622,roc_auc,0.5688413547237077,4.675627417047508,159.58937183301896,
2_ood,classification,tabpfn_v2_5,2000,5,False,100,500,0,ok,accuracy,0.574,roc_auc,0.6093312395784429,3.0676070830086246,81.36005016695708,
2_ood,classification,tabpfn_v3,2000,5,False,100,500,0,ok,accuracy,0.57,roc_auc,0.5900665360767998,1.8815245410660282,19.038237707922235,
2_ood,classification,tabicl_v2,2000,5,False,100,500,0,ok,accuracy,0.492,roc_auc,0.4847744087031131,9.167269166908227,480.26253262499813,
2_ood,classification,tabpfn_v2_5,2000,5,True,100,500,0,ok,accuracy,0.676,roc_auc,0.7082141112429339,2.6429874579189345,76.01408845896367,
2_ood,classification,tabpfn_v3,2000,5,True,100,500,0,ok,accuracy,0.656,roc_auc,0.6680857003280062,4.141724208020605,20.514434749959037,
2_ood,classification,tabicl_v2,2000,5,True,100,500,0,ok,accuracy,0.644,roc_auc,0.5077378044525088,11.142190166050568,607.3550498329569,
2_ood,regression,tabpfn_v2_5,50,5,False,100,500,0,ok,r2,0.046581497676379424,rmse,3.6526353731889594,0.9097127499990165,15.204077917034738,
2_ood,regression,tabpfn_v3,50,5,False,100,500,0,ok,r2,0.05002772212852913,rmse,3.6460279930764816,1.140823833993636,5.731616041972302,
2_ood,regression,tabicl_v2,50,5,False,100,500,0,ok,r2,-0.04868840045563916,rmse,3.830784882815982,0.3225917919771746,5.177468875073828,
2_ood,regression,tabpfn_v2_5,50,5,True,100,500,0,ok,r2,0.04079629516491945,rmse,5.539092633350486,0.4174511660821736,8.618646541028284,
2_ood,regression,tabpfn_v3,50,5,True,100,500,0,ok,r2,-0.3954734823296344,rmse,6.681038870211408,0.5865879580378532,5.973572499933653,
2_ood,regression,tabicl_v2,50,5,True,100,500,0,ok,r2,-0.026243081152956593,rmse,5.729389205366956,0.2686315840110183,6.34788895805832,
2_ood,regression,tabpfn_v2_5,100,5,False,100,500,0,ok,r2,0.04982628403752032,rmse,3.7925834188198366,0.2879754160530865,17.541942541021854,
2_ood,regression,tabpfn_v3,100,5,False,100,500,0,ok,r2,0.1129296394407664,rmse,3.6644826509566157,1.0556554580107331,9.907482041977346,
2_ood,regression,tabicl_v2,100,5,False,100,500,0,ok,r2,-0.015017579313540308,rmse,3.9198587491094385,0.4058970409678295,10.010637875064276,
2_ood,regression,tabpfn_v2_5,100,5,True,100,500,0,ok,r2,0.045928426969231606,rmse,6.446998625955071,0.3270552499452606,16.254698249977082,
2_ood,regression,tabpfn_v3,100,5,True,100,500,0,ok,r2,-0.6984152463987119,rmse,8.601794036896896,0.6440101250773296,10.208415249944665,
2_ood,regression,tabicl_v2,100,5,True,100,500,0,ok,r2,-0.15873519821431614,rmse,7.10492011679585,0.363633833010681,9.566155707929283,
2_ood,regression,tabpfn_v2_5,200,5,False,100,500,0,ok,r2,0.04499010568723538,rmse,4.03301376394395,0.3618100829189643,28.95975258294493,
2_ood,regression,tabpfn_v3,200,5,False,100,500,0,ok,r2,0.054159897479781116,rmse,4.013605013063387,1.167885790928267,23.01882708305493,
2_ood,regression,tabicl_v2,200,5,False,100,500,0,ok,r2,-0.3570089076886602,rmse,4.807475923066377,1.0222212499938905,16.68097874999512,
2_ood,regression,tabpfn_v2_5,200,5,True,100,500,0,ok,r2,-0.03982413271571916,rmse,6.72019738741804,0.3242904170183465,35.864114583004266,
