dataset_module,dataset_variant,logical_operator,n_noise_features,model,seed,n_samples,n_relevant_features,n_features,train_samples,test_samples,positive_rate,accuracy,balanced_accuracy,precision_macro,recall_macro,f1_macro,fit_seconds,prediction_seconds,total_seconds,log_loss,roc_auc,status,error
logical_dataset,L3,XOR,0,catboost,2,1000,4,4,750,250,0.497,0.928,0.9279313876088068,0.9281506147540984,0.9279313876088068,0.9279815632801998,3.139558600028977,0.0165135000133886,3.156072100042365,0.232369583386789,0.9850870455709164,success,nan
logical_dataset,L3,XOR,0,realmlp,2,1000,4,4,750,250,0.497,0.864,0.8641193036354327,0.8643058401639344,0.8641193036354327,0.8639912954429083,15.013736099994276,0.4540964000043459,15.467832499998622,0.3737478682289027,0.9485407066052228,success,nan
logical_dataset,L3,XOR,0,tabicl_v2,2,1000,4,4,750,250,0.497,0.88,0.8800563236047108,0.8800563236047108,0.8800563236047108,0.88,1.4725713999941945,12.486030699976254,13.958602099970449,0.2575452982173671,0.9647977470558116,success,nan
logical_dataset,L3,XOR,0,limix,2,1000,4,4,750,250,0.497,0.864,0.8640552995391705,0.8640552995391705,0.8640552995391705,0.864,0.0001625000149942,5.21392609999748,5.214088600012474,0.4366811082480074,0.948988735279058,success,nan
logical_dataset,L3,XOR,0,tabpfn_v2,2,1000,4,4,750,250,0.497,0.856,0.8561827956989247,0.8567307692307693,0.8561827956989247,0.8559631265603995,0.4702347999555059,21.36802709999029,21.838261899945792,0.4399523004572592,0.9420762928827444,success,nan
logical_dataset,L3,XOR,0,tabpfn_v3,2,1000,4,4,750,250,0.497,0.904,0.9039298515104968,0.9041367827868853,0.9039298515104968,0.903975417706933,5.279994899989106,25.46500630001537,30.74500120000448,0.2155340404222453,0.9749743983614952,success,nan
logical_dataset,L3,XOR,0,catboost,3,1000,4,4,750,250,0.483,0.952,0.9511820103786276,0.9536231884057972,0.9511820103786276,0.951848998459168,2.362036500009708,0.0464541999972425,2.40849070000695,0.1700760115967814,0.9939137676981228,success,nan
logical_dataset,L3,XOR,0,realmlp,3,1000,4,4,750,250,0.483,0.936,0.935934396822346,0.935934396822346,0.935934396822346,0.935934396822346,13.101447699998973,0.0849729999899864,13.186420699988956,0.1752166926400344,0.9853289768723172,success,nan
logical_dataset,L3,XOR,0,tabicl_v2,3,1000,4,4,750,250,0.483,0.532,0.5165289256198347,0.7621951219512195,0.5165289256198347,0.376,1.3981543000554666,13.539996900013648,14.938151200069116,0.6851421577429858,0.7640463834967007,success,nan
logical_dataset,L3,XOR,0,limix,3,1000,4,4,750,250,0.483,0.888,0.8866038823755525,0.8911141357184522,0.8866038823755525,0.8874163664436439,0.0002060999977402,4.394375000032596,4.3945811000303365,0.4065336762526275,0.9725158562367864,success,nan
logical_dataset,L3,XOR,0,tabpfn_v2,3,1000,4,4,750,250,0.483,0.864,0.8630918060093535,0.8650563607085346,0.8630918060093535,0.8635721623009759,0.3963989000185393,20.767285999958403,21.163684899976943,0.377873806304789,0.9360625280287014,success,nan
logical_dataset,L3,XOR,0,tabpfn_v3,3,1000,4,4,750,250,0.483,0.884,0.883752963034147,0.8839743589743589,0.883752963034147,0.8838494689117096,1.6239536000066437,23.990172400022857,25.6141260000295,0.208006139917299,0.9745018899352936,success,nan
logical_dataset,L3,XOR,0,catboost,4,1000,4,4,750,250,0.541,0.94,0.9405797101449276,0.9391371340523884,0.9405797101449276,0.9397212711578338,2.780578900012188,0.0032086999854072,2.783787599997595,0.208991640273183,0.9895008051529792,success,nan
logical_dataset,L3,XOR,0,realmlp,4,1000,4,4,750,250,0.541,0.888,0.8917874396135266,0.88967903132808,0.8917874396135266,0.8879354508196722,14.140070799971,0.0880816999706439,14.228152499941643,0.2449971823881423,0.9728180354267312,success,nan
logical_dataset,L3,XOR,0,tabicl_v2,4,1000,4,4,750,250,0.541,0.924,0.9270531400966184,0.924347158218126,0.9270531400966184,0.923901376183534,0.9447494000196456,12.783419499988668,13.728168900008312,0.1838219876388594,0.982608695652174,success,nan
logical_dataset,L3,XOR,0,limix,4,1000,4,4,750,250,0.541,0.912,0.9127214170692431,0.9110270062223362,0.9127214170692431,0.9116380695328063,0.0001721999724395,4.678267700015567,4.678439899988007,0.4000962380476957,0.971851851851852,success,nan
logical_dataset,L3,XOR,0,tabpfn_v2,4,1000,4,4,750,250,0.541,0.836,0.8326892109500805,0.8367892540427752,0.8326892109500805,0.8340645286623173,0.5984158999635838,25.1606899999897,25.759105899953283,0.3779980063234948,0.9261191626409018,success,nan
logical_dataset,L3,XOR,0,tabpfn_v3,4,1000,4,4,750,250,0.541,0.924,0.9264090177133656,0.9237071172555044,0.9264090177133656,0.9238525785921544,1.6127568000229076,23.77152719994774,25.38428399997065,0.1874239244143742,0.98402576489533,success,nan
logical_dataset,L3,XOR,2,catboost,0,1000,4,6,750,250,0.495,0.888,0.8883128520225294,0.8903113741636645,0.8883128520225294,0.8878851944391057,2.604668000014499,0.0069517000229097,2.6116197000374086,0.3686166413474511,0.9651817716333846,success,nan
logical_dataset,L3,XOR,2,realmlp,0,1000,4,6,750,250,0.495,0.92,0.9200588837685612,0.9200588837685612,0.9200588837685612,0.92,13.265989599982277,0.0874273999943398,13.353416999976616,0.2531198506518128,0.9767025089605734,success,nan
logical_dataset,L3,XOR,2,tabicl_v2,0,1000,4,6,750,250,0.495,0.716,0.7166538658474142,0.7223316912972085,0.7166538658474142,0.714350086097298,0.8279005999793299,15.405394900008105,16.233295499987435,0.5906202307555906,0.8101638504864312,success,nan
logical_dataset,L3,XOR,2,limix,0,1000,4,6,750,250,0.495,0.588,0.5874935995903738,0.5889452794586505,0.5874935995903738,0.5860860619504589,0.0001744999899528,5.985295000020415,5.985469500010368,0.67662249349896,0.6662186379928314,success,nan
logical_dataset,L3,XOR,2,tabpfn_v2,0,1000,4,6,750,250,0.495,0.824,0.8245647721454172,0.83065988523735,0.8245647721454172,0.8232761390656127,0.3467731999699026,30.155630799999926,30.50240399996983,0.48059021386978,0.9358038914490528,success,nan
logical_dataset,L3,XOR,2,tabpfn_v3,0,1000,4,6,750,250,0.495,0.668,0.6666026625704045,0.6901526773321645,0.6666026625704045,0.6568830095080611,1.3766728999908082,22.53948209999362,23.91615499998443,0.6826904325128371,0.7756656426011266,success,nan
logical_dataset,L3,XOR,2,catboost,1,1000,4,6,750,250,0.477,0.816,0.8167297453332478,0.8160000000000001,0.8167297453332478,0.8158939549180328,3.294868500030134,0.0065090999705716,3.3013776000007056,0.4613525615413699,0.8819680543973315,success,nan
logical_dataset,L3,XOR,2,realmlp,1,1000,4,6,750,250,0.477,0.864,0.8629161588299442,0.8644122383252818,0.8629161588299442,0.863440652914337,13.548336200008634,0.0869674999848939,13.635303699993528,0.4043063301874057,0.9516325614215152,success,nan
logical_dataset,L3,XOR,2,tabicl_v2,1,1000,4,6,750,250,0.477,0.664,0.6609147475784207,0.6639435331024116,0.6609147475784207,0.6608746205025515,0.936768800020218,13.72149610001361,14.658264900033828,0.6373352333924391,0.7042145102315736,success,nan
logical_dataset,L3,XOR,2,limix,1,1000,4,6,750,250,0.477,0.792,0.7888254538456604,0.7957307060755336,0.7888254538456604,0.7897256728778468,0.0002016000216826,6.454662800009828,6.454864400031511,0.5672447496547321,0.8734363974597473,success,nan
logical_dataset,L3,XOR,2,tabpfn_v2,1,1000,4,6,750,250,0.477,0.848,0.8476489832574251,0.8476489832574251,0.8476489832574251,0.8476489832574251,0.4096995000145398,29.83000339998398,30.23970289999852,0.4819002844217907,0.9261658862018092,success,nan
logical_dataset,L3,XOR,2,tabpfn_v3,1,1000,4,6,750,250,0.477,0.58,0.5726794534607736,0.5803318207600681,0.5726794534607736,0.565936337329475,1.386285099957604,23.516751700022724,24.903036799980327,0.6768855930235446,0.619346975431394,success,nan
logical_dataset,L3,XOR,2,catboost,2,1000,4,6,750,250,0.497,0.856,0.8560547875064004,0.8560547875064004,0.8560547875064004,0.856,3.2823631999781355,0.0045827999711036,3.286945999949239,0.4360364683026227,0.913978494623656,success,nan
logical_dataset,L3,XOR,2,realmlp,2,1000,4,6,750,250,0.497,0.872,0.8720558115719406,0.8720558115719406,0.8720558115719406,0.872,13.68112059996929,0.0875068000168539,13.768627399986144,0.2894341478462346,0.9499487967229904,success,nan
logical_dataset,L3,XOR,2,tabicl_v2,2,1000,4,6,750,250,0.497,0.648,0.6479774705581157,0.6479774705581157,0.6479774705581157,0.6479774705581157,0.8301215999526903,13.458684500015806,14.288806099968497,0.6681584424260254,0.6860599078341014,success,nan
logical_dataset,L3,XOR,2,limix,2,1000,4,6,750,250,0.497,0.724,0.7235663082437276,0.7263918594853846,0.7235663082437276,0.7230028101164191,0.0001333000254817,6.30415699997684,6.304290300002322,0.6159499982392098,0.798515104966718,success,nan
logical_dataset,L3,XOR,2,tabpfn_v2,2,1000,4,6,750,250,0.497,0.784,0.7840501792114696,0.7840501792114696,0.7840501792114696,0.784,0.4127139000338502,33.47724969999399,33.88996360002784,0.5906639579620356,0.850678443420379,success,nan
logical_dataset,L3,XOR,2,tabpfn_v3,2,1000,4,6,750,250,0.497,0.648,0.6474654377880185,0.6502347417840375,0.6474654377880185,0.646165723108595,1.4218994999537244,22.260370300034992,23.68226979998872,0.6659951671742397,0.7175179211469533,success,nan
logical_dataset,L3,XOR,2,catboost,3,1000,4,6,750,250,0.483,0.836,0.8351912358254853,0.8365928975810601,0.8351912358254853,0.8355553416438048,2.6125191999599338,0.0072954000206664,2.6198145999806,0.4357956183845442,0.919661733615222,success,nan
logical_dataset,L3,XOR,2,realmlp,3,1000,4,6,750,250,0.483,0.888,0.8871164072009738,0.8892109500805153,0.8871164072009738,0.8876476630713919,21.225494100013748,0.1172609999775886,21.342755099991336,0.30090225448546,0.9586136203472356,success,nan
logical_dataset,L3,XOR,2,tabicl_v2,3,1000,4,6,750,250,0.483,0.516,0.5,0.258,0.5,0.3403693931398417,1.672265300003346,14.075741000007838,15.748006300011184,0.6904850252750354,0.5981164712665769,success,nan
logical_dataset,L3,XOR,2,limix,3,1000,4,6,750,250,0.483,0.756,0.7535716573771543,0.7606691253951527,0.7535716573771543,0.7535353535353535,0.0001853999565355,6.188081400003284,6.18826679995982,0.625852589349822,0.8564289832788776,success,nan
logical_dataset,L3,XOR,2,tabpfn_v2,3,1000,4,6,750,250,0.483,0.832,0.8295214299442629,0.8397067564890034,0.8295214299442629,0.8301630434782609,0.842408099968452,32.06714370002737,32.909551799995825,0.5646531690699421,0.915241206995964,success,nan
logical_dataset,L3,XOR,2,tabpfn_v3,3,1000,4,6,750,250,0.483,0.516,0.5,0.258,0.5,0.3403693931398417,2.4199780999915674,24.99352899997029,27.413507099961866,0.6923670344313021,0.5287334230251778,success,nan
logical_dataset,L3,XOR,2,catboost,4,1000,4,6,750,250,0.541,0.808,0.808695652173913,0.8070344032289064,0.808695652173913,0.8073959938366718,3.462186800024938,0.0032422000076621,3.4654290000326,0.4501114407877193,0.9015136876006442,success,nan
logical_dataset,L3,XOR,2,realmlp,4,1000,4,6,750,250,0.541,0.9,0.9022544283413848,0.8997055811571941,0.9022544283413848,0.899806024463361,14.42871050001122,0.0911170999752357,14.519827599986456,0.2618015971443898,0.9699838969404186,success,nan
logical_dataset,L3,XOR,2,tabicl_v2,4,1000,4,6,750,250,0.541,0.884,0.8835748792270531,0.8831060216160577,0.8835748792270531,0.8833260915045302,0.977117900038138,14.50186170003144,15.47897960006958,0.3021825110131001,0.9571658615136877,success,nan
logical_dataset,L3,XOR,2,limix,4,1000,4,6,750,250,0.541,0.792,0.7925925925925926,0.7910180024344929,0.7925925925925926,0.7913456599897277,0.0001969000441022,7.3822745999787,7.382471500022802,0.5131548389567897,0.9031239935587762,success,nan
logical_dataset,L3,XOR,2,tabpfn_v2,4,1000,4,6,750,250,0.541,0.764,0.7499194847020934,0.79340592861464,0.7499194847020934,0.7500804825564649,0.7150371000170708,33.56653549999464,34.281572600011714,0.5982774499976019,0.8667954911433172,success,nan
logical_dataset,L3,XOR,2,tabpfn_v3,4,1000,4,6,750,250,0.541,0.928,0.9262479871175524,0.9289001231447276,0.9262479871175524,0.9273302758219752,2.9262851999956183,26.87618510000175,29.802470299997367,0.4219361983543193,0.978486312399356,success,nan
logical_dataset,L3,XOR,4,catboost,0,1000,4,8,750,250,0.495,0.7,0.6999487967229903,0.699987196722361,0.6999487967229903,0.6999567937783041,3.307063799991738,0.0119660000200383,3.3190298000117764,0.5456402544847166,0.8092037890424987,success,nan
logical_dataset,L3,XOR,4,realmlp,0,1000,4,8,750,250,0.495,0.808,0.8083717357910907,0.8107585139318885,0.8083717357910907,0.8076923076923077,16.47387039999012,0.0876571999979205,16.56152759998804,0.4438208458911542,0.8872247823860727,success,nan
logical_dataset,L3,XOR,4,tabicl_v2,0,1000,4,8,750,250,0.495,0.564,0.5635560675883257,0.5643593233521291,0.5635560675883257,0.5624247290244881,1.2676937999785878,15.19697410002118,16.464667899999768,0.6853792025921659,0.5799411162314388,success,nan
logical_dataset,L3,XOR,4,limix,0,1000,4,8,750,250,0.495,0.56,0.5584357398873527,0.5690411373260738,0.5584357398873527,0.5416666666666666,0.000257900042925,7.628233499999624,7.628491400042549,0.6908717261159515,0.5635560675883255,success,nan
logical_dataset,L3,XOR,4,tabpfn_v2,0,1000,4,8,750,250,0.495,0.792,0.7919226830517153,0.7920722336065573,0.7919226830517153,0.7919467383650214,0.465338799986057,38.381737200019415,38.84707600000547,0.6224445330699304,0.8674475166410651,success,nan
logical_dataset,L3,XOR,4,tabpfn_v3,0,1000,4,8,750,250,0.495,0.524,0.5206093189964157,0.5733652312599681,0.5206093189964157,0.4172494172494172,2.2271898999460973,25.413725200050976,27.640915099997077,0.6922250379689857,0.5625960061443932,success,nan
logical_dataset,L3,XOR,4,catboost,1,1000,4,8,750,250,0.477,0.652,0.6517736865738661,0.6515112704918034,0.6517736865738661,0.6515484067351287,3.496565999987069,0.0152173999813385,3.511783399968408,0.5713020456556819,0.7677208287895312,success,nan
logical_dataset,L3,XOR,4,realmlp,1,1000,4,8,750,250,0.477,0.548,0.5456090833279876,0.546001552795031,0.5456090833279876,0.5453740806900658,15.629721999983303,0.1103497000294737,15.740071700012775,0.7116121960358047,0.5294759125024054,success,nan
logical_dataset,L3,XOR,4,tabicl_v2,1,1000,4,8,750,250,0.477,0.564,0.5628006927962024,0.5628531073446328,0.5628006927962024,0.5628178594920665,1.3465345000149682,15.784539399959613,17.13107389997458,0.6849072022752419,0.574700109051254,success,nan
logical_dataset,L3,XOR,4,limix,1,1000,4,8,750,250,0.477,0.544,0.5367887613060491,0.5404414357238558,0.5367887613060491,0.5294234198533783,0.0001373999984934,7.864788600010797,7.864926000009291,0.6859031057204702,0.5634100968631728,success,nan
logical_dataset,L3,XOR,4,tabpfn_v2,1,1000,4,8,750,250,0.477,0.724,0.7197062030919238,0.7283333333333333,0.7197062030919238,0.7196899527129137,0.5631715999916196,37.9525319999666,38.515703599958215,0.6387437211700348,0.7834370389377125,success,nan
logical_dataset,L3,XOR,4,tabpfn_v3,1,1000,4,8,750,250,0.477,0.552,0.5436525755340305,0.5497114471473445,0.5436525755340305,0.5333333333333333,1.7098918000119738,28.460230199969374,30.170121999981347,0.6834819690776927,0.5795753415870165,success,nan
logical_dataset,L3,XOR,4,catboost,2,1000,4,8,750,250,0.497,0.7,0.700268817204301,0.7010796221322537,0.700268817204301,0.6997646154585195,3.23474519996671,0.002944000007119,3.237689199973829,0.5650409863829048,0.7811699948796722,success,nan
logical_dataset,L3,XOR,4,realmlp,2,1000,4,8,750,250,0.497,0.484,0.481310803891449,0.4659236783755397,0.481310803891449,0.4165535956580732,15.045948699989822,0.0888051000074483,15.13475379999727,0.7364414755990913,0.4791346646185356,success,nan
logical_dataset,L3,XOR,4,tabicl_v2,2,1000,4,8,750,250,0.497,0.52,0.5190092165898618,0.5202536824877251,0.5190092165898618,0.5120046847550264,0.8242956000030972,18.452130799996667,19.276426399999764,0.6976831735877917,0.4841269841269841,success,nan
logical_dataset,L3,XOR,4,limix,2,1000,4,8,750,250,0.497,0.54,0.5393625192012289,0.5403940886699508,0.5393625192012289,0.5367311751720137,0.0001256999676115,7.812773000041489,7.8128987000091,0.6927410336913777,0.5387224782386073,success,nan
logical_dataset,L3,XOR,4,tabpfn_v2,2,1000,4,8,750,250,0.497,0.556,0.5550435227854583,0.5584040747028862,0.5550435227854583,0.5490664456686004,0.4116811000276357,43.805491099949,44.21717219997663,0.6887330545663131,0.5950460829493087,success,nan
