dataset_variant,model,seed,n_samples,n_features,train_samples,test_samples,accuracy,balanced_accuracy,precision_macro,recall_macro,f1_macro,fit_seconds,prediction_seconds,total_seconds,log_loss,roc_auc,status,error
periodic_low_freq,TabPFN-v2,1,1200,5,1000,200,0.995,0.9950980392156863,0.994949494949495,0.9950980392156863,0.994998874746818,1.3176971673965454,0.988388285972178,2.3060854533687234,0.010387030430138111,0.9998999599839936,success,
periodic_low_freq,TabPFN-v3,1,1200,5,1000,200,1.0,1.0,1.0,1.0,1.0,3.5416164314374328,0.7022131578996778,4.2438295893371105,0.004695412702858448,1.0,success,
periodic_low_freq,TabICL-v2,1,1200,5,1000,200,1.0,1.0,1.0,1.0,1.0,0.7809672551229596,0.7111359797418118,1.4921032348647714,0.0058621508069336414,1.0,success,
periodic_mid_freq,CatBoost,1,1200,5,1000,200,0.965,0.9658828258466485,0.9643429487179487,0.9658828258466485,0.964893803756363,1.2159192254766822,0.0012288419529795647,1.2171480674296618,0.09778599424110786,0.996985227615315,success,
periodic_mid_freq,RealMLP-TD,1,1200,5,1000,200,0.53,0.5269822128429303,0.5270692610142151,0.5269822128429303,0.5269726247987118,15.572550831362605,0.0466284342110157,15.61917926557362,0.7636598348617554,0.5696914882926339,success,
periodic_mid_freq,TabPFN-v2,1,1200,5,1000,200,0.975,0.9745251733494121,0.9752415458937198,0.9745251733494121,0.9748585795097423,1.1314084148034453,0.9075434263795614,2.0389518411830068,0.04261743649840355,0.9986935986333032,success,
periodic_mid_freq,TabPFN-v3,1,1200,5,1000,200,0.985,0.9852778615214551,0.9846447209955841,0.9852778615214551,0.9849363561045417,3.36251787096262,0.6810430642217398,4.0435609351843596,0.04636867344379425,0.9989950758717716,success,
periodic_mid_freq,TabICL-v2,1,1200,5,1000,200,0.98,0.9806049643251935,0.9794486215538847,0.9806049643251935,0.9799277398635087,0.6809515496715903,0.5586761403828859,1.2396276900544763,0.03719897195696831,0.9991960606974173,success,
periodic_high_freq,CatBoost,1,1200,5,1000,200,0.885,0.8844460014012612,0.8854877559213168,0.8844460014012612,0.8847666524712543,1.1523238876834512,0.0021227067336440086,1.1544465944170952,0.4076763177201552,0.9550595535982384,success,
periodic_high_freq,RealMLP-TD,1,1200,5,1000,200,0.515,0.517415674106696,0.5178571428571428,0.517415674106696,0.5129421807135146,14.940817628055811,0.05215612519532442,14.992973753251135,0.6907768845558167,0.5392853568211391,success,
periodic_high_freq,TabPFN-v2,1,1200,5,1000,200,0.965,0.9654188769892904,0.965,0.9654188769892904,0.9649921232277263,0.9346492420881987,0.997278893366456,1.9319281354546547,0.0786602720618248,0.9977980182163948,success,
periodic_high_freq,TabPFN-v3,1,1200,5,1000,200,0.945,0.9457011310179162,0.9454781912765106,0.9457011310179162,0.9449986249656241,3.471131818369031,0.6420670179650187,4.11319883633405,0.21381644904613495,0.9905915323791412,success,
periodic_high_freq,TabICL-v2,1,1200,5,1000,200,0.975,0.975427885096587,0.975,0.975427885096587,0.9749943737340903,0.7347333068028092,0.5621043248102069,1.2968376316130161,0.08454209566116333,0.9967971174056651,success,
periodic_2d_checkerboard,CatBoost,1,1200,5,1000,200,0.525,0.5260651629072681,0.5260416666666667,0.5260651629072681,0.5249881247031176,1.2005008682608604,0.001135626807808876,1.2016364950686693,0.7139306948084397,0.5229072681704261,success,
periodic_2d_checkerboard,RealMLP-TD,1,1200,5,1000,200,0.495,0.4864661654135338,0.4847354138398915,0.4864661654135338,0.4750383325970009,15.319842338562012,0.07775534503161907,15.39759768359363,0.7013697624206543,0.5065664160401002,success,
periodic_2d_checkerboard,TabPFN-v2,1,1200,5,1000,200,0.495,0.5075187969924813,0.51,0.5075187969924813,0.46807109940750496,1.28469611518085,0.9418816072866321,2.226577722467482,0.6936935186386108,0.48411027568922305,success,
periodic_2d_checkerboard,TabPFN-v3,1,1200,5,1000,200,0.51,0.524812030075188,0.5379659456971928,0.524812030075188,0.47147017581706396,3.262062537483871,0.694985244423151,3.957047781907022,0.6930970549583435,0.5252631578947369,success,
periodic_2d_checkerboard,TabICL-v2,1,1200,5,1000,200,0.535,0.5380952380952381,0.5385551948051948,0.5380952380952381,0.534429676353533,0.9079752890393138,0.5751734310761094,1.4831487201154232,0.6902589201927185,0.5495739348370927,success,
periodic_low_freq,CatBoost,2,1200,5,1000,200,0.995,0.9954128440366973,0.9945652173913043,0.9954128440366973,0.9949636120974037,1.1628420781344175,0.0011306172236800194,1.1639726953580976,0.013268131878943119,0.9998991833854219,success,
periodic_low_freq,RealMLP-TD,2,1200,5,1000,200,0.99,0.9899183385421918,0.9899183385421918,0.9899183385421918,0.9899183385421918,14.864685547538102,0.04807944316416979,14.912764990702271,0.08431129157543182,0.9997983667708438,success,
periodic_low_freq,TabPFN-v2,2,1200,5,1000,200,1.0,1.0,1.0,1.0,1.0,1.6094944113865495,0.9728742735460401,2.5823686849325895,0.006240188609808683,1.0,success,
