dataset_module,dataset_variant,model,seed,n_samples,n_features,train_samples,test_samples,status,error,accuracy,balanced_accuracy,precision_macro,recall_macro,f1_macro,fit_seconds,prediction_seconds,total_seconds,log_loss,roc_auc
textual_tables,text_sentiment_ambiguous,CatBoost,0,1200,1,900,300,failed,"Bad value for num_feature[non_default_doc_idx=0,feature_idx=0]=""The product was flawed overall."": Cannot convert 'The product was flawed overall.' to float",,,,,,,,,,
textual_tables,text_sentiment_ambiguous,RealMLP-TD,0,1200,1,900,300,success,,0.9933333333333333,0.9933330370238678,0.9933330370238678,0.9933330370238678,0.9933330370238678,10.610478696413338,0.05158871691673994,10.662067413330078,0.08670592308044434,0.9918663051691187
textual_tables,text_sentiment_ambiguous,TabPFN-v2,0,1200,1,900,300,success,,0.9933333333333333,0.9933330370238678,0.9933330370238678,0.9933330370238678,0.9933330370238678,1.1986879901960492,0.46700496785342693,1.6656929580494761,0.06229455769062042,0.9922663229476866
textual_tables,text_sentiment_ambiguous,TabPFN-v3,0,1200,1,900,300,success,,0.9933333333333333,0.9933330370238678,0.9933330370238678,0.9933330370238678,0.9933330370238678,3.3810973269864917,0.6885007806122303,4.069598107598722,0.04583817720413208,0.9925330014667318
textual_tables,text_sentiment_ambiguous,TabICL-v2,0,1200,1,900,300,success,,0.9933333333333333,0.9933330370238678,0.9933330370238678,0.9933330370238678,0.9933330370238678,0.6662294873967767,0.36629107408225536,1.032520561479032,0.04846001788973808,0.9889328414596205
textual_tables,text_sentiment_embedded_control,CatBoost,0,1200,21,900,300,success,,1.0,1.0,1.0,1.0,1.0,1.5857053799554706,0.002660216763615608,1.5883655967190862,0.002331312080345542,1.0
textual_tables,text_sentiment_embedded_control,RealMLP-TD,0,1200,21,900,300,success,,1.0,1.0,1.0,1.0,1.0,10.690303579904139,0.05211960896849632,10.742423188872635,0.051280856132507324,1.0
textual_tables,text_sentiment_embedded_control,TabPFN-v2,0,1200,21,900,300,success,,1.0,1.0,1.0,1.0,1.0,1.1640704944729805,2.542470596730709,3.7065410912036896,2.124768116118503e-06,1.0
textual_tables,text_sentiment_embedded_control,TabPFN-v3,0,1200,21,900,300,success,,1.0,1.0,1.0,1.0,1.0,3.6646690806373954,0.7297005904838443,4.39436967112124,2.613648393889889e-05,1.0
textual_tables,text_sentiment_embedded_control,TabICL-v2,0,1200,21,900,300,success,,1.0,1.0,1.0,1.0,1.0,1.0645096246153116,0.8901798315346241,1.9546894561499357,1.3847003174305428e-05,1.0
textual_tables,text_sentiment_clean,CatBoost,1,1200,1,900,300,failed,"Bad value for num_feature[non_default_doc_idx=0,feature_idx=0]=""The product was terrible overall."": Cannot convert 'The product was terrible overall.' to float",,,,,,,,,,
textual_tables,text_sentiment_clean,RealMLP-TD,1,1200,1,900,300,success,,0.9833333333333333,0.983265922929908,0.9835883294787404,0.983265922929908,0.9833287024173382,10.501402742229402,0.052249303087592125,10.553652045316994,0.11880411952733994,0.9844215298457709
textual_tables,text_sentiment_clean,TabPFN-v2,1,1200,1,900,300,success,,0.9833333333333333,0.983265922929908,0.9835883294787404,0.983265922929908,0.9833287024173382,0.9727623490616679,0.47858240455389023,1.4513447536155581,0.10124040395021439,0.9821547624338859
textual_tables,text_sentiment_clean,TabPFN-v3,1,1200,1,900,300,success,,0.9833333333333333,0.983265922929908,0.9835883294787404,0.983265922929908,0.9833287024173382,3.4342185212299228,0.962404272519052,4.396622793748975,0.09866145253181458,0.9833992621894305
textual_tables,text_sentiment_clean,TabICL-v2,1,1200,1,900,300,success,,0.9833333333333333,0.983265922929908,0.9835883294787404,0.983265922929908,0.9833287024173382,0.8341642767190933,0.3779133968055248,1.2120776735246181,0.10086455941200256,0.9808658162585004
textual_tables,text_sentiment_noisy,CatBoost,1,1200,21,900,300,failed,"Bad value for num_feature[non_default_doc_idx=0,feature_idx=0]=""Customer service felt weak to us."": Cannot convert 'Customer service felt weak to us.' to float",,,,,,,,,,
textual_tables,text_sentiment_noisy,RealMLP-TD,1,1200,21,900,300,success,,0.98,0.9800853485064012,0.98,0.9800853485064012,0.9799991110716032,21.944259049370885,0.1335348952561617,22.077793944627047,0.11437834054231644,0.9753289473684211
textual_tables,text_sentiment_noisy,TabPFN-v2,1,1200,21,900,300,success,,0.98,0.9800853485064012,0.98,0.9800853485064012,0.9799991110716032,1.2219171095639467,2.5832799104973674,3.805197020061314,0.11994785070419312,0.9741065078236132
textual_tables,text_sentiment_noisy,TabPFN-v3,1,1200,21,900,300,success,,0.98,0.9800853485064012,0.98,0.9800853485064012,0.9799991110716032,3.280077673494816,0.8101216573268175,4.090199330821633,0.13781432807445526,0.9718616642958748
textual_tables,text_sentiment_noisy,TabICL-v2,1,1200,21,900,300,success,,0.98,0.9800853485064012,0.98,0.9800853485064012,0.9799991110716032,0.856004299595952,1.0308592738583684,1.8868635734543204,0.11175374686717987,0.975951280227596
textual_tables,text_sentiment_ambiguous,CatBoost,1,1200,1,900,300,failed,"Bad value for num_feature[non_default_doc_idx=0,feature_idx=0]=""Build quality seemed terrible for the price."": Cannot convert 'Build quality seemed terrible for the price.' to float",,,,,,,,,,
textual_tables,text_sentiment_ambiguous,RealMLP-TD,1,1200,1,900,300,success,,0.9833333333333333,0.9834640755927972,0.9831410627588972,0.9834640755927972,0.9832915622389307,9.941279597580433,0.04978495091199875,9.991064548492432,0.11505693942308426,0.9833749331431628
textual_tables,text_sentiment_ambiguous,TabPFN-v2,1,1200,1,900,300,success,,0.9833333333333333,0.9834640755927972,0.9831410627588972,0.9834640755927972,0.9832915622389307,0.8483798410743475,0.4921504436060786,1.3405302846804261,0.10864333808422089,0.9828846496701729
textual_tables,text_sentiment_ambiguous,TabPFN-v3,1,1200,1,900,300,success,,0.9833333333333333,0.9834640755927972,0.9831410627588972,0.9834640755927972,0.9832915622389307,3.2175380242988467,1.0204950449988246,4.238033069297671,0.10860815644264221,0.9791406667855234
textual_tables,text_sentiment_ambiguous,TabICL-v2,1,1200,1,900,300,success,,0.9833333333333333,0.9834640755927972,0.9831410627588972,0.9834640755927972,0.9832915622389307,0.7954528359696269,0.395488902926445,1.190941738896072,0.09436117857694626,0.9831075057942592
textual_tables,text_sentiment_embedded_control,CatBoost,1,1200,21,900,300,success,,1.0,1.0,1.0,1.0,1.0,1.540811019949615,0.001958649605512619,1.5427696695551276,0.002929028889402489,1.0
textual_tables,text_sentiment_embedded_control,RealMLP-TD,1,1200,21,900,300,success,,1.0,1.0,1.0,1.0,1.0,10.465898676775396,0.10483340453356504,10.570732081308961,0.051394253969192505,1.0
textual_tables,text_sentiment_embedded_control,TabPFN-v2,1,1200,21,900,300,success,,1.0,1.0,1.0,1.0,1.0,1.1154465423896909,2.5656413454562426,3.6810878878459334,5.074350042377773e-07,1.0
textual_tables,text_sentiment_embedded_control,TabPFN-v3,1,1200,21,900,300,success,,1.0,1.0,1.0,1.0,1.0,3.3514435132965446,0.9595871586352587,4.311030671931803,3.1098414183361456e-05,1.0
textual_tables,text_sentiment_embedded_control,TabICL-v2,1,1200,21,900,300,success,,1.0,1.0,1.0,1.0,1.0,1.2760220868512988,1.1297642979770899,2.4057863848283887,1.1432654901000205e-05,1.0
textual_tables,text_sentiment_clean,CatBoost,2,1200,1,900,300,failed,"Bad value for num_feature[non_default_doc_idx=0,feature_idx=0]=""Build quality seemed solid for the price."": Cannot convert 'Build quality seemed solid for the price.' to float",,,,,,,,,,
textual_tables,text_sentiment_clean,RealMLP-TD,2,1200,1,900,300,success,,0.99,0.9899039316847535,0.9901001112347052,0.9899039316847535,0.9899909918927035,10.805509044788778,0.05625092703849077,10.861759971827269,0.10667417198419571,0.9899928838285003
textual_tables,text_sentiment_clean,TabPFN-v2,2,1200,1,900,300,success,,0.99,0.9899039316847535,0.9901001112347052,0.9899039316847535,0.9899909918927035,1.2138226199895144,0.6706660920754075,1.8844887120649219,0.0726291760802269,0.9896815513253869
textual_tables,text_sentiment_clean,TabPFN-v3,2,1200,1,900,300,success,,0.99,0.9899039316847535,0.9901001112347052,0.9899039316847535,0.9899909918927035,3.371901866979897,0.8966055177152157,4.268507384695113,0.06657442450523376,0.9897705034691335
textual_tables,text_sentiment_clean,TabICL-v2,2,1200,1,900,300,success,,0.99,0.9899039316847535,0.9901001112347052,0.9899039316847535,0.9899909918927035,0.866694244556129,0.5657863579690456,1.4324806025251746,0.0670638158917427,0.9915495463440669
textual_tables,text_sentiment_noisy,CatBoost,2,1200,21,900,300,failed,"Bad value for num_feature[non_default_doc_idx=0,feature_idx=0]=""Customer service felt great to us."": Cannot convert 'Customer service felt great to us.' to float",,,,,,,,,,
textual_tables,text_sentiment_noisy,RealMLP-TD,2,1200,21,900,300,success,,0.98,0.9799991110716032,0.9799991110716032,0.9799991110716032,0.9799991110716032,22.50144189596176,0.13246113806962967,22.63390303403139,0.11479019373655319,0.9757322547668785
textual_tables,text_sentiment_noisy,TabPFN-v2,2,1200,21,900,300,success,,0.98,0.9799991110716032,0.9799991110716032,0.9799991110716032,0.9799991110716032,1.254731196910143,2.563717018812895,3.8184482157230377,0.10432600229978561,0.9796435397128762
textual_tables,text_sentiment_noisy,TabPFN-v3,2,1200,21,900,300,success,,0.98,0.9799991110716032,0.9799991110716032,0.9799991110716032,0.9799991110716032,2.7338054003193974,0.6851333566009998,3.4189387569203973,0.1046619787812233,0.9784879327970132
textual_tables,text_sentiment_noisy,TabICL-v2,2,1200,21,900,300,success,,0.98,0.9799991110716032,0.9799991110716032,0.9799991110716032,0.9799991110716032,0.8295117923989892,0.8931480115279555,1.7226598039269447,0.1011425256729126,0.9813325036668297
textual_tables,text_sentiment_ambiguous,CatBoost,2,1200,1,900,300,failed,"Bad value for num_feature[non_default_doc_idx=0,feature_idx=0]=""Build quality seemed poor for the price."": Cannot convert 'Build quality seemed poor for the price.' to float",,,,,,,,,,
textual_tables,text_sentiment_ambiguous,RealMLP-TD,2,1200,1,900,300,success,,0.98,0.9799964438122333,0.9799964438122333,0.9799964438122333,0.9799964438122333,10.40580209158361,0.04952123202383518,10.455323323607445,0.1287224143743515,0.9826858108108107
